customer_id,ssn,name,birth_date,marital_status,income_bracket,signup_date,city,state,payment_method,acquisition_channel,credit_score,cancellation_date
1,605-19-3680,Dustin Mcclure,1998-04-27,Widowed,D,2016-07-25,New John,MN,Direct Debit,Online,824,
2,008-49-9038,Ronald Brewer,1998-05-19,Married,B,2022-09-07,New Kathrynburgh,MN,Bank Slip,Telesales,415,2024-12-20
3,483-43-7410,Parker Cruz,1956-10-03,Married,D,1977-08-10,Jenniferside,SD,Bank Slip,Partner,560,
4,237-58-5404,Joel Odonnell,1984-08-03,Widowed,D,2017-12-22,Mcintoshton,LA,Credit Card,Online,331,2018-11-01
5,652-60-2505,Veronica Oliver,2003-06-09,Married,D,2023-03-19,Quinnbury,SD,Bank Slip,Online,491,2025-05-25
6,425-88-2191,Stephanie Parrish,1988-09-09,Married,B,2022-01-29,South Jose,TX,Credit Card,Partner,640,
7,318-63-5190,Ryan Olson,1947-06-26,Divorced,A,1990-05-09,Johnborough,SC,Direct Debit,Online,347,
8,660-66-1526,Todd Cruz,1965-06-18,Divorced,A,2015-11-10,Greentown,VT,Credit Card,Online,308,
9,814-75-9684,Amanda Simpson,1959-09-05,Married,A,2005-01-24,Johnstad,MN,Bank Slip,Telesales,797,2009-01-03
10,604-41-7206,Elizabeth Velasquez,1967-12-01,Single,B,2016-05-13,Jamesborough,MP,Direct Debit,Partner,389,
11,617-78-5180,David Carey,1985-12-23,Widowed,B,2004-08-21,South Mark,OK,Credit Card,Online,348,2017-04-14
12,414-38-2685,Jason Evans,1971-06-28,Divorced,B,2013-08-06,Joneston,PR,Bank Slip,Telesales,602,
13,749-64-7120,Rachel Allen,1982-05-16,Divorced,D,2019-07-20,Bellhaven,DC,Credit Card,Partner,502,
14,054-62-8134,Brenda Cochran,1987-10-25,Divorced,A,2016-11-21,North Veronica,KS,Credit Card,Partner,658,
15,564-38-7190,Patricia Harris,1981-02-04,Divorced,A,2008-10-28,Michaelshire,TX,Bank Slip,Partner,447,
16,534-28-5267,Dr. Brent Kelly,2006-06-03,Widowed,C,2024-11-21,Port Isaacside,UT,Bank Slip,Physical Store,689,2025-01-14
